DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2023-04-27                22:54:16.125              116.62101998              2798.904479               117.62101998              1682636056.126            65536                     16448                     1.4001688469E+002         4.4774497986E+001         3.3750000000E+001         4.5311363220E+001         4.5006401062E+001         2.0000000000E+000         0.0000000000E+000         3.1156962696E+004         0.0000000000E+000         1.9647990406E+000         1.9797542925E+000         4.1736759395E+002         4.2120810864E+002         5.8750548193E-001         7.4693036321E-001         
2023-04-27                22:54:17.039              116.62103054              2798.904733               117.62103054              1682636057.039            65536                     16448                     1.3999860951E+002         4.4774497986E+001         3.3750000000E+001         4.5311363220E+001         4.5006401062E+001         1.0000000000E+000         0.0000000000E+000         3.1152800209E+004         0.0000000000E+000         1.9647990406E+000         1.9797542925E+000         4.1733367483E+002         4.2120810864E+002         5.8750548193E-001         7.4693036321E-001         
2023-04-27                22:54:17.546              116.62103642              2798.904874               117.62103642              1682636057.547            65536                     16448                     1.3996494176E+002         4.4774497986E+001         3.3750000000E+001         4.5311363220E+001         4.5006401062E+001         3.0000000000E+000         0.0000000000E+000         3.1145205078E+004         0.0000000000E+000         1.9647990406E+000         1.9795981628E+000         4.1733367483E+002         4.2117539885E+002         5.8867969452E-001         7.4839602500E-001         
2023-04-27                22:54:18.982              116.62105303              2798.905273               117.62105303              1682636058.982            65536                     16448                     1.4000415902E+002         4.4774497986E+001         3.3750000000E+001         4.5311363220E+001         4.5006401062E+001         2.0000000000E+000         0.0000000000E+000         3.1158130675E+004         0.0000000000E+000         1.9646784351E+000         1.9795981628E+000         4.1733367483E+002         4.2117539885E+002         5.8867969452E-001         7.4839602500E-001         
2023-04-27                22:54:19.895              116.62106361              2798.905527               117.62106361              1682636059.896            65536                     16448                     1.4001070931E+002         4.4781726943E+001         3.3750000000E+001         4.5311447523E+001         4.5006337835E+001         1.0000000000E+000         0.0000000000E+000         3.1159870090E+004         0.0000000000E+000         1.9646784351E+000         1.9795981628E+000         4.1731466571E+002         4.2117539885E+002         5.8867969452E-001         7.4839602500E-001         
2023-04-27                22:54:20.401              116.62106947              2798.905667               117.62106947              1682636060.402            65536                     16448                     1.4002812077E+002         4.4784965515E+001         3.3750000000E+001         4.5311485291E+001         4.5006309509E+001         3.0000000000E+000         0.0000000000E+000         3.1166709585E+004         0.0000000000E+000         1.9646784351E+000         1.9794686616E+000         4.1731466571E+002         4.2115414092E+002         5.8687502147E-001         7.4614337416E-001         
2023-04-27                22:54:21.829              116.62108600              2798.906064               117.62108600              1682636061.830            65536                     16448                     1.4000445137E+002         4.4784965515E+001         3.3750000000E+001         4.5311485291E+001         4.5006309509E+001         2.0000000000E+000         0.0000000000E+000         3.1163031333E+004         0.0000000000E+000         1.9646778025E+000         1.9794686616E+000         4.1731466571E+002         4.2115414092E+002         5.8687502147E-001         7.4614337416E-001         
2023-04-27                22:54:22.730              116.62109642              2798.906314               117.62109642              1682636062.731            65536                     16448                     1.4000576015E+002         4.4784965515E+001         3.3750000000E+001         4.5311485291E+001         4.5006309509E+001         1.0000000000E+000         0.0000000000E+000         3.1162315981E+004         0.0000000000E+000         1.9646778025E+000         1.9794686616E+000         4.1733622781E+002         4.2115414092E+002         5.8687502147E-001         7.4614337416E-001         
2023-04-27                22:54:23.232              116.62110222              2798.906453               117.62110222              1682636063.232            65536                     16448                     1.4000337923E+002         4.4784965515E+001         3.3750000000E+001         4.5311485291E+001         4.5006309509E+001         3.0000000000E+000         0.0000000000E+000         3.1163841647E+004         0.0000000000E+000         1.9646778025E+000         1.9794556421E+000         4.1733622781E+002         4.2117268632E+002         5.8770223831E-001         7.4717596343E-001         
2023-04-27                22:54:24.651              116.62111866              2798.906848               117.62111866              1682636064.652            65536                     16448                     1.4000737629E+002         4.4789185337E+001         3.3788359788E+001         4.5311556014E+001         4.5006321296E+001         2.0000000000E+000         0.0000000000E+000         3.1168498078E+004         0.0000000000E+000         1.9644247295E+000         1.9794556421E+000         4.1733622781E+002         4.2117268632E+002         5.8770223831E-001         7.4717596343E-001         
